"","Community","Neighborhood"
"1","Camden","Shingle Creek"
"2","Camden","Lind Bohanon"
"3","Camden","Victory"
"4","Camden","Webber Camden"
"5","Camden","Cleveland"
"6","Camden","Folwell"
"7","Camden","McKinley"
"8","Northeast","Columbia Park"
"9","Northeast","Waite Park"
"10","Northeast","Marshall Terrace"
"11","Northeast","Audubon Park"
"12","Northeast","Bottineau"
"13","Northeast","Holland"
"14","Northeast","Windom Park"
"15","Northeast","Sheridan"
"16","Northeast","Logan Park"
"17","Northeast","Northeast Park"
"18","Northeast","St Anthony West"
"19","Northeast","St Anthony East"
"20","Northeast","Beltrami"
"21","Near North","Jordan"
"22","Near North","Hawthorne"
"23","Near North","Willard Hay"
"24","Near North","Near North"
"25","Near North","Harrison"
"26","Central","North Loop"
"27","Central","Downtown West"
"28","Central","Downtown East"
"29","Central","Loring Park"
"30","Central","Elliot Park"
"31","Central","Stevens Square Loring Heights"
"32","University","Nicollet Island  East Bank"
"33","University","Marcy Holmes"
"34","University","Como"
"35","University","Cedar Riverside"
"36","University","University of Minnesota"
"37","University","Prospect Park"
"38","Calhoun Isle","Bryn Mawr"
"39","Calhoun Isle","Kenwood"
"40","Calhoun Isle","Lowry Hill"
"41","Calhoun Isle","Cedar Isles Dean"
"42","Calhoun Isle","East Isles"
"43","Calhoun Isle","Lowry Hill East"
"44","Calhoun Isle","West Calhoun"
"45","Calhoun Isle","East Calhoun (ECCO)"
"46","Calhoun Isle","CARAG"
"47","Phillips","Ventura Village"
"48","Phillips","Phillips (East Midtown & West)"
"49","Longfellow","Seward"
"50","Longfellow","Longfellow"
"51","Longfellow","Cooper"
"52","Longfellow","Howe"
"53","Longfellow","Hiawatha"
"54","Powderhorn","Whittier"
"55","Powderhorn","Lyndale"
"56","Powderhorn","Central"
"57","Powderhorn","Powderhorn Park"
"58","Powderhorn","Corcoran"
"59","Powderhorn","Bryant"
"60","Powderhorn","Bancroft"
"61","Powderhorn","Standish"
"62","Southwest","Linden Hills"
"63","Southwest","East Harriet"
"64","Southwest","King Field"
"65","Southwest","Fulton"
"66","Southwest","Lynnhurst"
"67","Southwest","Tangletown"
"68","Southwest","Armatage"
"69","Southwest","Kenny"
"70","Southwest","Windom"
"71","Nokomis","Regina"
"72","Nokomis","Field"
"73","Nokomis","Northrop"
"74","Nokomis","Ericsson"
"75","Nokomis","Page"
"76","Nokomis","Hale"
"77","Nokomis","Keewaydin"
"78","Nokomis","Minnehaha"
"79","Nokomis","Diamond Lake"
"80","Nokomis","Wenonah"
"81","Nokomis","Morris Park"
"82","Phillips","Phillips West"
"83","Phillips","East Phillips"
"84","University","Nicollet Island East Bank"
"85","Calhoun Isle","ECCO"
"86","University","Prospect Park East River Road"
